	BU_t	BUN_t	BUNK_t	TD_t	TDN_t	TDNK_t
eq_sum_to_first_and_second	300.0	300.0	300.0	300.0	300.0	300.0
eq_max	0.011615	0.007533999999999999	0.008922	0.049142	0.019612333333333332	0.043365999999999995
eq_add_5	6.284920333333333	5.4224343333333325	12.196260333333333	34.45888333333333	19.66012566666667	60.265408
eq_ls_min	0.004455333333333333	0.02021466666666667	0.03287600000000001	0.006567	0.02120066666666667	0.09966199999999999
eq_avg_pair	7.615255333333333	0.624942	0.6994696666666668	58.07890166666667	6.183515	5.446591333333334
eq_str_upper_len	5.701535333333333	1.7796506666666667	1.8099063333333334	26.928197666666666	5.640961999999999	8.094124333333333
eq_mult_c	300.0	300.0	300.0	300.0	300.0	300.0
eq_sub_q_long	300.0	300.0	300.0	300.0	300.0	300.0
eq_add	0.00011066666666666668	0.00012333333333333334	0.000125	0.00028933333333333334	0.000417	0.0008493333333333333
eq_sum_to_first	52.73822466666667	1.1825913333333333	0.619938	110.34793266666668	5.467707	15.054898333333334
eq_mult_q	7.377277333333333	0.4785453333333333	0.43496466666666667	15.627963	1.9459426666666666	3.02655
eq_min_pair	32.719991	4.029882000000001	4.953378333333333	81.874623	19.552548	67.48622366666666
eq_add_4	0.04689666666666667	0.04856133333333334	0.11336066666666667	0.11767266666666666	0.14131866666666668	1.2779666666666667
eq_str_lower_len	3.856422	1.226075	1.2580686666666667	22.478035333333334	6.929675333333333	4.632562
eq_mult_q_long	0.15886733333333333	0.06274733333333334	0.08636366666666667	0.032946333333333334	0.06009566666666666	0.048504
eq_str_trim_len	26.29248733333333	6.787683	7.142893333333333	219.49371766666664	52.212718	28.611345666666665
eq_div_q_long	0.15468066666666666	0.06025900000000001	0.08620966666666667	0.037968999999999996	0.05858533333333333	0.2261093333333333
eq_str_max	1.7880603333333334	0.44961199999999996	0.5422046666666667	8.102787333333334	1.3162833333333332	2.990237333333333
eq_str_split	300.0	300.0	300.0	300.0	300.0	300.0
eq_str_mult	0.04667833333333333	0.022699333333333332	0.025973333333333334	0.16982733333333333	0.051262	0.05720566666666666
eq_intervals	32.75653066666666	3.9981216666666675	4.917268	74.77020866666668	25.248032	21.79457366666667
eq_str_add	0.04687766666666667	0.023161333333333336	0.025935	0.26188966666666663	0.08249433333333334	0.07388833333333333
eq_sub_c	7.350248666666666	0.475992	0.43365633333333337	31.627905	4.507830666666666	9.282195
eq_max_and_acc	300.0	300.0	300.0	300.0	300.0	300.0
eq_sub_q	300.0	300.0	300.0	300.0	300.0	300.0
eq_sum_to_second	68.92653933333332	1.5121966666666664	0.6983723333333334	107.881265	5.2663796666666665	11.215958
eq_distances	300.0	7.358608	5.581709666666666	300.0	50.306721333333336	100.66073533333334
eq_div_q	7.380111333333333	0.4791616666666667	0.43807033333333334	14.216464	2.1197406666666665	3.8179353333333332
eq_add_q_long	300.0	44.648714000000005	49.514219	300.0	57.43179233333333	95.55358100000001
eq_min	0.009770666666666665	0.0073999999999999995	0.009020666666666666	0.04646366666666666	0.021807333333333335	0.04393933333333333
eq_max_pair	32.79228366666667	4.0210186666666665	4.921795333333333	40.25218266666667	21.530198666666664	56.228003333333334
eq_ls_stutter	27.684158333333333	5.116736666666667	8.005212	50.41707399999999	15.890954333333335	93.836429
eq_ls_sum_abs	0.008554333333333332	0.12528	0.17111500000000002	0.0076163333333333335	0.7913303333333334	0.7483596666666665
eq_ls_sum	0.003857666666666667	0.020871666666666667	0.033645666666666664	0.005585333333333334	0.015333666666666667	0.105343
eq_add_q	300.0	300.0	300.0	300.0	300.0	300.0
eq_str_len	1.3998413333333335	0.4205940000000001	0.5239710000000001	4.473394333333334	1.5831523333333335	2.0648956666666667
eq_ls_sum2	147.91140266666665	88.32738533333334	107.02046433333334	229.65966966666667	300.0	254.87044666666668
eq_add_and_mult	7.392074333333333	0.48099033333333335	0.446935	26.11827	1.5121486666666666	9.336663
eq_add_c	7.386816333333333	0.48093933333333333	0.43890433333333334	13.506460333333335	3.684411666666667	8.10842
eq_add_3	0.0024576666666666666	0.003755666666666667	0.0054133333333333325	0.003573	0.006642666666666667	0.04177533333333333
eq_ls_max	0.003952	0.019869333333333333	0.03338	0.006368666666666666	0.021389333333333333	0.10009166666666665
