	BU_t	BUN_t	BUNK_t	TD_t	TDN_t	TDNK_t
eq_mult_q	7.284102666666667	0.6051936666666666	0.481049	14.541745333333333	3.195748	3.176071
eq_add_q_long	300.0	55.88130666666667	42.387278	300.0	85.08670866666667	113.23202500000001
eq_intervals	32.439835	4.8839223333333335	4.537335666666666	70.37856666666666	37.540759666666666	26.927525
eq_max	0.005608333333333333	0.004509333333333333	0.0053276666666666654	0.022633666666666667	0.018448333333333334	0.02625066666666667
eq_max_pair	32.436278666666674	4.894520666666668	4.541088666666667	38.07917333333333	32.35600133333333	28.32850566666667
eq_add_c	7.236291333333334	0.6019856666666668	0.4804296666666666	13.393730666666665	5.995165	4.861265333333333
eq_sub_q	300.0	300.0	300.0	300.0	300.0	300.0
eq_add_q	300.0	300.0	300.0	300.0	300.0	300.0
eq_div_q	7.251969	0.5993763333333334	0.47868533333333335	13.678803	3.5196086666666666	4.933471333333333
eq_add_5	6.102604666666667	6.7001256666666675	7.964226666666666	32.84090033333334	28.380065333333334	60.99166233333333
eq_mult_c	300.0	300.0	300.0	300.0	300.0	300.0
eq_sum_to_second	67.99400266666667	1.8586106666666666	0.729615	100.87937733333335	8.750344333333333	9.545875
eq_sub_c	7.208272	0.599298	0.4749046666666666	30.36299666666667	7.214375333333334	11.918005666666668
eq_add_4	0.048093666666666667	0.06432966666666666	0.08522666666666667	0.1337303333333333	0.257977	0.4172073333333333
eq_distances	300.0	8.901705666666667	5.962131333333333	300.0	77.65088833333334	68.94038666666667
eq_min	0.004821666666666667	0.005386333333333333	0.005178333333333333	0.021854666666666665	0.01825066666666667	0.025688
eq_add_and_mult	7.300125666666666	0.611833	0.5004336666666667	25.872753333333332	2.4977213333333332	3.868828
eq_sum_to_first_and_second	300.0	300.0	300.0	300.0	300.0	300.0
eq_min_pair	32.38009400000001	4.8685529999999995	4.570188333333333	80.57474333333333	29.408220333333333	26.130302666666665
eq_add_3	0.0011636666666666666	0.002584	0.003095333333333333	0.0017873333333333335	0.006217333333333334	0.024506333333333335
eq_max_and_acc	300.0	300.0	300.0	300.0	300.0	300.0
eq_add	3.8e-05	6.2e-05	6.833333333333333e-05	0.00011566666666666665	0.00038800000000000005	0.000562
eq_sum_to_first	52.69872066666667	1.4926036666666667	0.6284526666666667	106.387614	9.051428666666666	26.502236999999997
