BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
0.156673	0.0	73788	0.060141	0.021303	17121	0.08613	0.062723	10284	0.038106	0.0	6452	0.058464	0.022712	5796	0.228711	0.188665	6346
0.151142	0.0	73788	0.060177	0.021078	17121	0.086118	0.062532	10284	0.038123	0.0	6452	0.0589	0.022702	5796	0.225768	0.187264	6346
0.156227	0.0	73788	0.060459	0.02137	17121	0.086381	0.062787	10284	0.037678	0.0	6452	0.058392	0.022576	5796	0.223849	0.18608	6346
