BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
27.597866	0.0	10311681	5.109365	1.062421	1288565	8.004931	5.550405	792662	50.614593	0.0	1145507	15.728113	5.724933	275556	93.523137	71.556764	653566
27.761792	0.0	10311681	5.119298	1.070555	1288565	7.997855	5.557773	792662	50.18673	0.0	1145507	15.891505	5.773773	275556	93.837884	71.682294	653566
27.692817	0.0	10311681	5.121547	1.069698	1288565	8.01285	5.555725	792662	50.449899	0.0	1145507	16.053245	5.843916	275556	94.148266	71.933856	653566
