BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
7.758903	0.0	1623381	0.620524	0.153137	82429	0.709722	0.330653	67950	58.274045	0.0	1133653	6.283184	2.430326	94550	5.54318	3.123612	63495
7.54611	0.0	1623381	0.605097	0.146518	82429	0.673327	0.312395	67950	57.627072	0.0	1133653	6.150689	2.382075	94550	5.390431	3.041782	63495
7.540753	0.0	1623381	0.649205	0.158696	82429	0.71536	0.327135	67950	58.335588	0.0	1133653	6.116672	2.358675	94550	5.406163	3.021438	63495
