BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
0.047445	0.0	25560	0.022557	0.006122	7225	0.025836	0.009398	7095	0.256142	0.0	15144	0.08054	0.033159	4250	0.073566	0.036585	3467
0.046407	0.0	25560	0.023546	0.006541	7225	0.026016	0.009477	7095	0.254588	0.0	15144	0.081289	0.03345	4250	0.074318	0.036804	3467
0.046781	0.0	25560	0.023381	0.006386	7225	0.025953	0.009501	7095	0.274939	0.0	15144	0.085654	0.034433	4250	0.073781	0.036364	3467
