BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
7.351994	0.0	2931851	0.478268	0.130302	119513	0.435059	0.255809	59425	31.684517	0.0	835684	4.530249	1.906519	103124	9.248557	7.037411	101209
7.323778	0.0	2931851	0.47562	0.128768	119513	0.432612	0.254928	59425	31.480035	0.0	835684	4.489115	1.88757	103124	9.285511	7.05961	101209
7.374974	0.0	2931851	0.474088	0.128103	119513	0.433298	0.254196	59425	31.719163	0.0	835684	4.504128	1.898708	103124	9.312517	7.068805	101209
