BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
52.845245	0.0	20383826	1.187944	0.328125	261107	0.620431	0.436306	46569	110.099388	0.0	3010314	5.49179	2.334493	154409	15.080663	12.887638	118683
52.712355	0.0	20383826	1.176457	0.326123	261107	0.62235	0.433668	46569	110.627745	0.0	3010314	5.4404	2.315836	154409	15.004686	12.841892	118683
52.657074	0.0	20383826	1.183373	0.326838	261107	0.617033	0.433335	46569	110.316665	0.0	3010314	5.470931	2.323863	154409	15.079346	12.88593	118683
