BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
32.748626	0.0	12489974	4.003832	0.97571	1028025	4.923316	3.49019	480484	74.682649	0.0	1401875	25.223501	10.370904	382884	21.812753	17.471706	151933
32.717507	0.0	12489974	4.001246	0.972595	1028025	4.915517	3.484517	480484	74.888823	0.0	1401875	25.249072	10.378193	382884	21.829797	17.517633	151933
32.803459	0.0	12489974	3.989287	0.96704	1028025	4.912971	3.484995	480484	74.739154	0.0	1401875	25.271523	10.404543	382884	21.741171	17.464662	151933
