BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
1.399202	0.0	601407	0.418267	0.097234	123073	0.524198	0.202831	117165	4.484128	0.0	151252	1.572153	0.631432	46846	2.067592	0.966391	53018
1.390262	0.0	601407	0.420729	0.096525	123073	0.524089	0.203431	117165	4.485141	0.0	151252	1.58061	0.631084	46846	2.066609	0.965583	53018
1.41006	0.0	601407	0.422786	0.09713	123073	0.523626	0.202509	117165	4.450914	0.0	151252	1.596694	0.638635	46846	2.060486	0.961665	53018
