BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
7.400312	0.0	2939755	0.476039	0.129351	120303	0.439547	0.255375	59994	14.270299	0.0	421217	2.134423	0.922917	54256	3.803653	2.894	46412
7.406145	0.0	2939755	0.477827	0.12942	120303	0.43517	0.25536	59994	14.186114	0.0	421217	2.121414	0.918695	54256	3.825186	2.917584	46412
7.333877	0.0	2939755	0.483619	0.132349	120303	0.439494	0.257578	59994	14.192979	0.0	421217	2.103385	0.911129	54256	3.824967	2.918194	46412
