BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
6.588925	0.0	2607285	5.592961	1.674007	1419209	12.171526	9.705138	1067716	34.571452	0.0	1955565	19.282343	7.426243	838835	59.941322	47.556367	864751
6.09529	0.0	2607285	5.303964	1.599712	1419209	12.107167	9.655204	1067716	34.79636	0.0	1955565	20.373291	7.767165	838835	60.200422	47.705396	864751
6.170546	0.0	2607285	5.370378	1.617227	1419209	12.310088	9.776149	1067716	34.008838	0.0	1955565	19.324743	7.453568	838835	60.65448	47.940432	864751
