BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
5.697717	0.0	2089120	1.776012	0.311459	447247	1.823914	0.387588	445098	27.113242	0.0	724360	5.630153	2.013444	150982	8.075326	2.921237	208691
5.694565	0.0	2089120	1.785807	0.314285	447247	1.799346	0.380131	445098	26.799496	0.0	724360	5.643288	2.021226	150982	8.009583	2.889663	208691
5.712324	0.0	2089120	1.777133	0.311687	447247	1.806459	0.382015	445098	26.871855	0.0	724360	5.649445	2.022413	150982	8.197464	2.963611	208691
