BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
7.345689	0.0	2939395	0.484465	0.130989	120204	0.43463	0.255163	60037	15.666043	0.0	445877	1.945548	0.836884	49828	3.027078	2.303274	37669
7.394543	0.0	2939395	0.476631	0.130812	120204	0.43644	0.255387	60037	15.534494	0.0	445877	1.940457	0.83418	49828	3.031201	2.303972	37669
7.3916	0.0	2939395	0.47454	0.128737	120204	0.433824	0.254132	60037	15.683352	0.0	445877	1.951823	0.8411	49828	3.021371	2.297534	37669
