BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
7.356464	0.0	2946939	0.478486	0.129934	121052	0.437203	0.255558	60447	13.443249	0.0	408926	3.707432	1.578208	86783	8.14564	6.2378	89977
7.423137	0.0	2946939	0.481691	0.130465	121052	0.440529	0.255595	60447	13.522861	0.0	408926	3.661081	1.557574	86783	8.005478	6.108225	89977
7.380848	0.0	2946939	0.482641	0.130442	121052	0.438981	0.256384	60447	13.553271	0.0	408926	3.684722	1.567953	86783	8.174142	6.223598	89977
