BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
32.737963	0.0	12489929	3.977859	0.966835	1028005	5.012774	3.537041	480470	81.647341	0.0	1547730	19.489062	8.084199	307238	67.515824	54.212616	407662
32.759492	0.0	12489929	4.088248	1.010625	1028005	4.926827	3.490515	480470	81.968345	0.0	1547730	19.697334	8.143807	307238	67.423738	54.141292	407662
32.662518	0.0	12489929	4.023539	0.972672	1028005	4.920534	3.487406	480470	82.008183	0.0	1547730	19.471248	8.077072	307238	67.519109	54.267029	407662
