BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
7.250067	0.0	2946939	0.607597	0.251599	121052	0.479157	0.290598	60367	13.421074	0.0	408926	6.009995	3.877755	86783	4.852311	3.912143	46785
7.233451	0.0	2946939	0.599208	0.250286	121052	0.481723	0.290925	60367	13.404282	0.0	408926	6.015219	3.881044	86783	4.852566	3.904673	46785
7.225356	0.0	2946939	0.599152	0.250621	121052	0.480409	0.2911	60367	13.355836	0.0	408926	5.960281	3.853589	86783	4.878919	3.93046	46785
