BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
68.481462	0.0	24324786	1.851364	0.718235	337843	0.727832	0.476142	67053	100.95548	0.0	2899809	8.743957	5.756488	150206	9.57475	8.152677	79666
67.680532	0.0	24324786	1.874854	0.728901	337843	0.727807	0.476676	67053	100.695454	0.0	2899809	8.761613	5.771944	150206	9.535929	8.13624	79666
67.820014	0.0	24324786	1.849614	0.716729	337843	0.733206	0.476701	67053	100.987198	0.0	2899809	8.745463	5.764084	150206	9.526946	8.134842	79666
