BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
0.049914	0.0	25560	0.028651	0.012486	7225	0.032849	0.016754	7093	0.262389	0.0	15144	0.147244	0.098941	4250	0.198326	0.142621	4536
0.050942	0.0	25560	0.028928	0.012511	7225	0.03304	0.016721	7093	0.25834	0.0	15144	0.148382	0.099056	4250	0.197288	0.142159	4536
0.049723	0.0	25560	0.028689	0.012484	7225	0.032786	0.016687	7093	0.274984	0.0	15144	0.148874	0.099301	4250	0.197463	0.142122	4536
