BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
0.153534	0.0	74332	0.078855	0.038816	17372	0.082541	0.059004	10380	0.032702	0.0	5818	0.112943	0.077469	5931	0.06285	0.052429	2175
0.149131	0.0	74332	0.078655	0.038635	17372	0.082793	0.059043	10380	0.032436	0.0	5818	0.115775	0.078492	5931	0.06278	0.052453	2175
0.149312	0.0	74332	0.079135	0.039056	17372	0.082821	0.059095	10380	0.032603	0.0	5818	0.113195	0.077884	5931	0.062997	0.052521	2175
