BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
7.263367	0.0	2939395	0.61262	0.255193	120204	0.48621	0.296035	59957	14.525803	0.0	445877	3.201314	2.112215	49828	3.178228	2.575547	32410
7.28035	0.0	2939395	0.599391	0.251094	120204	0.479058	0.291142	59957	14.590186	0.0	445877	3.180082	2.100451	49828	3.184652	2.58163	32410
7.308591	0.0	2939395	0.60357	0.250727	120204	0.477879	0.290673	59957	14.509247	0.0	445877	3.205848	2.114766	49828	3.165333	2.567805	32410
