BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
6.218719	0.0	2607285	6.718815	3.047479	1419209	8.027184	5.970545	850283	33.049011	0.0	1955565	27.956725	15.836868	838835	60.84515	48.00084	873002
6.057174	0.0	2607285	6.697945	3.039548	1419209	7.923498	5.902515	850283	32.740342	0.0	1955565	27.544272	15.642833	838835	60.723894	47.944216	873002
6.031921	0.0	2607285	6.683617	3.031009	1419209	7.941998	5.914618	850283	32.733348	0.0	1955565	29.639199	16.476633	838835	61.405943	48.31511	873002
