BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
32.418798	0.0	12503789	4.865544	1.903083	1030185	4.530274	3.143425	481492	37.909134	0.0	797390	32.473372	19.926863	335731	28.387027	23.267193	177943
32.45938	0.0	12503789	4.947911	1.931515	1030185	4.548574	3.149923	481492	38.200907	0.0	797390	32.265613	19.833066	335731	28.35125	23.250982	177943
32.430658	0.0	12503789	4.870107	1.90312	1030185	4.544418	3.154872	481492	38.127479	0.0	797390	32.329019	19.855617	335731	28.24724	23.162052	177943
