BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
0.152382	0.0	73788	0.078328	0.03856	17121	0.083044	0.059109	10343	0.03981	0.0	6452	0.110867	0.076101	5796	0.298144	0.252525	7696
0.151776	0.0	73788	0.078874	0.038659	17121	0.082959	0.059208	10343	0.041222	0.0	6452	0.111106	0.076343	5796	0.299625	0.253535	7696
0.152213	0.0	73788	0.078117	0.038516	17121	0.082682	0.059197	10343	0.039657	0.0	6452	0.11078	0.076022	5796	0.303219	0.256061	7696
