BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
32.62307	0.0	12489974	4.935741	1.925735	1028025	4.537824	3.147413	480316	70.303017	0.0	1401875	37.582654	22.929146	382884	26.848865	22.077033	170614
32.386012	0.0	12489974	4.852415	1.902799	1028025	4.535865	3.14393	480316	70.526292	0.0	1401875	37.441052	22.880245	382884	26.973222	22.140137	170614
32.310423	0.0	12489974	4.863611	1.9021	1028025	4.538318	3.149493	480316	70.306391	0.0	1401875	37.598573	23.018385	382884	26.960488	22.17678	170614
