BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
32.363646	0.0	12489929	4.885057	1.908885	1028005	4.553331	3.154984	480302	80.877352	0.0	1547730	29.425957	18.123993	307238	26.018825	21.383237	166271
32.392284	0.0	12489929	4.870422	1.906993	1028005	4.613941	3.185631	480302	80.397394	0.0	1547730	29.413595	18.10233	307238	26.142735	21.502897	166271
32.384352	0.0	12489929	4.85018	1.897993	1028005	4.543293	3.147764	480302	80.449484	0.0	1547730	29.385109	18.096881	307238	26.229348	21.532889	166271
