BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
300	300	0	54.865966	21.564146	10114781	42.580174	29.482978	4001728	300	300	0	88.388367	50.638653	2095980	118.078651	96.311315	1328103
300	300	0	58.512108	22.108334	10114781	42.398767	29.433639	4001728	300	300	0	83.286438	48.482047	2095980	110.880197	91.731492	1328103
300	300	0	54.265846	21.363052	10114781	42.182893	29.249866	4001728	300	300	0	83.585321	48.729887	2095980	110.737227	91.718211	1328103
