BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
7.243933	0.0	2931851	0.598144	0.250077	119513	0.47318	0.288696	59425	30.302105	0.0	835684	7.192258	4.637772	103124	11.978802	9.549552	106061
7.183643	0.0	2931851	0.604893	0.251503	119513	0.47461	0.289701	59425	30.238785	0.0	835684	7.196104	4.63509	103124	11.909007	9.498448	106061
7.19724	0.0	2931851	0.594857	0.249337	119513	0.476924	0.2904	59425	30.5481	0.0	835684	7.254764	4.676746	103124	11.866208	9.480255	106061
