BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
52.862901	0.0	20383826	1.4897	0.630748	261107	0.627726	0.446236	46429	106.48967	0.0	3010314	9.073238	5.970085	154409	26.465314	22.653365	194281
52.648007	0.0	20383826	1.491931	0.629825	261107	0.625178	0.444728	46429	106.283196	0.0	3010314	9.009838	5.941122	154409	26.568595	22.719383	194281
52.585254	0.0	20383826	1.49618	0.634622	261107	0.632454	0.448619	46429	106.389976	0.0	3010314	9.07121	5.958984	154409	26.472802	22.643569	194281
