BU_t	BU_n	BU_p	BUN_t	BUN_n	BUN_p	BUNK_t	BUNK_n	BUNK_p	TD_t	TD_n	TD_p	TDN_t	TDN_n	TDN_p	TDNK_t	TDNK_n	TDNK_p
7.232871	0.0	2946898	0.597906	0.250332	121036	0.478357	0.289637	60357	25.547884	0.0	723941	2.454354	1.6314	38681	3.87384	3.129464	38114
7.214703	0.0	2946898	0.599274	0.250729	121036	0.478046	0.28915	60357	25.9941	0.0	723941	2.515369	1.664438	38681	3.833145	3.097731	38114
7.452803	0.0	2946898	0.638319	0.264394	121036	0.544898	0.319168	60357	26.076276	0.0	723941	2.523441	1.668604	38681	3.899499	3.144271	38114
